TotalCheckouts|Title|CallNumber|Author|OwningLibrary|Publisher|CopyrightDate|DateLastBorrowed|itype|ItemCode
1|Raven's Feast|eAUDIO OVERDRI|Schumacher, Eric|PUBLIC|NULL|2018|2019-09-01 04:58:59|Ebook|Electronic Resource
4|Theo Chocolate : recipes & sweet secrets from Seattle's favorite chocolate maker : featuring 75 recipes both sweet & savory|641.6374 MUSIC|Music, Debra.|EDM|Sasquatch Books,|2015|2019-11-30 09:41:20|NULL|NULL
9|True love|FIC DEVERAU|Deveraux, Jude.|MCR|Ballantine Books,|2013|2020-01-22 11:52:00|Fiction|NULL
4|Planet Earth|DVD PLANET|NULL|LSP|NULL|2009|2019-12-27 17:38:58|NULL|NULL
4|The tale of Despereaux : being the story of a mouse, a princess, some soup, and a spool of thread|J DICAMIL|DiCamillo, Kate.|SNO|NULL|2003|2019-12-04 08:10:57|NULL|NULL
5|Amber Fang. 3, Revenge|TEEN SLADE|Slade, Arthur, 1967- author.|MAR|Orca Book Publishers,|2019|2020-01-30 13:09:49|NULL|NULL
1|Christmas is here!|E SCHULZ|Schulz, Charles M. (Charles Monroe), 1922-2000, creator.|DAR|Simon Spotlight, an imprint of Simon & Schuster Children's Publishing Division,|2019|2019-12-07 17:25:18|Readers|Book
4|The enormous crocodile|E DAHL|Dahl, Roald, author.|MUK|Puffin Books,|2018|2019-11-27 08:11:22|Easy|Book
2|Suddenly mine|FIC CHASE|Chase, Samantha, author.|GRA|NULL|2019|2020-01-18 15:11:57|NULL|NULL
6|Free-motion quilting 101 : techniques & patterns for beginners|746.4604 NICKELS|Nickels, Ashley, author.|OAK|The Taunton Press, Inc.,|2019|2020-02-15 10:42:26|NULL|NULL
5|The Fallen City|eAUDIO OVERDRI|Tanner, Jakob|PUBLIC|NULL|2019|2020-02-03 08:14:37|Ebook|Electronic Resource
1|Zloĭ rok Mariny ?T|Svetaevoĭ : Zhiva?i|a dusha v mertvoĭ petle|INTL-RUS BIO TSVETAE POLIKOV|Polikovskai︠a︡, L. V. (Li︠u︡dmila Vladimirovna), author.|LYN|ĖKSMO,|2013|2019-09-26 16:18:23.823|International Russian|NULL
